"BalanceCurrentAccount","DurationMonths","PaymentPreviousCredits","PurposeCredit","AmountCredit","ValueSavingsOrStocks","InCurrentEmployment","InstallmentAvailableIncome","GenderMaritalStatus","FurtherDebtorsGuarantors","LivingCurrentHousehold","MostValuableAssets","Age","FurtherRunningCredits","TypeApartment","NumberPreviousCreditsThisBank","Occupation","NumberPersonsEntitledMmaintainance","Telephone","ForeignWorker","Creditability"
"<= 200 DM",36.0,"no previous credits or paid back","items of furniture",5848.0,"no savings","between 1 and 4 years","less than 20","male:single","none","less than 1 year","savings contract with a building society/Life insurance",24.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",10.0,"no previous credits or paid back","new car",2901.0,"greater than 1000 DM","less than 1 year","greater than 35","female:divorced/living apart/married","none","greater than 7 years","no assets",31.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",21.0,"paid back previous credits at this bank","retraining",3652.0,"no savings","between 4 and 7 years","between 25 and 35","male:single","none","between 4 and 7 years","car/other",27.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"<= 200 DM",30.0,"paid back previous credits at this bank","items of furniture",3017.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","car/other",47.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
">=200 DM",18.0,"paid back previous credits at this bank","items of furniture",2238.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","less than 1 year","savings contract with a building society/Life insurance",25.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",12.0,"no previous credits or paid back","other",888.0,"no savings","greater than 7 years","less than 20","male:single","none","greater than 7 years","savings contract with a building society/Life insurance",41.0,"at other banks","rented","one","unskilled with permanant residence","0 to 2","no","yes","bad"
">=200 DM",18.0,"no previous credits or paid back","items of furniture",1453.0,"no savings","less than 1 year","between 20 and 25","female:divorced/living apart/married","none","less than 1 year","no assets",26.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no balance",48.0,"no problems with current credits at this bank","retraining",6681.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:single","none","greater than 7 years","ownership of house or land",38.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","0 to 2","yes","yes","good"
"<= 200 DM",12.0,"no previous credits or paid back","used car",1424.0,"greater than 1000 DM","greater than 7 years","between 20 and 25","female:divorced/living apart/married","none","greater than 7 years","no assets",55.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
">=200 DM",4.0,"paid back previous credits at this bank","other",3380.0,"no savings","between 4 and 7 years","greater than 35","female:divorced/living apart/married","none","less than 1 year","no assets",37.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","good"
">=200 DM",15.0,"no previous credits or paid back","used car",2186.0,"greater than 1000 DM","between 4 and 7 years","greater than 35","female:divorced/living apart/married","none","greater than 7 years","no assets",33.0,"at other banks","free apartment","one","unskilled with permanant residence","3 and more","no","yes","good"
">=200 DM",12.0,"no previous credits or paid back","items of furniture",707.0,"no savings","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","no assets",30.0,"at other banks","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",48.0,"hesistant payment of previous credits","used car",7119.0,"no savings","between 1 and 4 years","between 20 and 25","male:single","none","greater than 7 years","ownership of house or land",53.0,"no further running credits","owner","2 or 3","skilled worker/skilled employee/minor civil servant","0 to 2","no","yes","bad"
">=200 DM",36.0,"paid back previous credits at this bank","new car",11054.0,"greater than 1000 DM","between 1 and 4 years","less than 20","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","good"
"no balance",18.0,"no previous credits or paid back","other",1042.0,"greater than 1000 DM","between 1 and 4 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","car/other",33.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
">=200 DM",12.0,"paid back previous credits at this bank","used car",1258.0,"no savings","less than 1 year","between 25 and 35","female:divorced/living apart/married","none","greater than 7 years","car/other",22.0,"no further running credits","free apartment","2 or 3","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",18.0,"no previous credits or paid back","items of furniture",1301.0,"no savings","greater than 7 years","less than 20","male:married/widowed","guarantor","between 1 and 4 years","no assets",32.0,"no further running credits","rented","one","unskilled with permanant residence","3 and more","no","yes","good"
"no balance",15.0,"problematic running accounts","other",1264.0,"less than 100 DM","between 1 and 4 years","between 25 and 35","male:married/widowed","none","between 1 and 4 years","car/other",25.0,"no further running credits","free apartment","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","bad"
"<= 200 DM",24.0,"no previous credits or paid back","items of furniture",1377.0,"less than 100 DM","greater than 7 years","less than 20","female:divorced/living apart/married","none","between 1 and 4 years","ownership of house or land",47.0,"no further running credits","owner","one","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","good"
"no running account",8.0,"paid back previous credits at this bank","business",1164.0,"no savings","greater than 7 years","between 20 and 25","male:single","none","greater than 7 years","ownership of house or land",51.0,"at other banks","owner","2 or 3","executive/self-employed/higher civil servant","0 to 2","yes","yes","good"
"no balance",48.0,"paid back previous credits at this bank","used car",5096.0,"no savings","between 1 and 4 years","between 25 and 35","female:divorced/living apart/married","none","between 4 and 7 years","savings contract with a building society/Life insurance",30.0,"no further running credits","rented","one","executive/self-employed/higher civil servant","3 and more","yes","yes","bad"
"no balance",24.0,"no problems with current credits at this bank","items of furniture",6403.0,"no savings","less than 1 year","greater than 35","male:single","none","between 1 and 4 years","savings contract with a building society/Life insurance",33.0,"no further running credits","rented","one","skilled worker/skilled employee/minor civil servant","3 and more","no","yes","good"
"no running account",48.0,"no previous credits or paid back","items of furniture",6999.0,"no savings","between 4 and 7 years","greater than 35","male:married/widowed","guarantor","less than 1 year","no assets",34.0,"no further running credits","rented","2 or 3","skilled worker/skilled employee/minor civil servant","3 and more","yes","yes","bad"
